,author,date,text,sent
218,therealpinoyrob,2021-05-06 14:30:29,   Were you around for when Mike Awesome three Kanyon off a cage? What about the Wall vs Cro… ,1
219,AugustosPauper,2021-05-06 14:30:29," The man with deep scars in his body will teach you more than the man with deep academic profiles on his wall.

No school teache…",-1
220,STAR72345,2021-05-06 14:30:30," You know what they say about a masterpiece..

PIN HER TO THE WALL 😈 ",1
221,TheFakeFabio,2021-05-06 14:30:30, Bat flipping for a hit that doesn’t even get to the wall should be a 3 game suspension  …,0
222,Flkrew,2021-05-06 14:30:30," It's worth noting that  voted with FAIR only 75% of the time last Congress, and even worse, she voted fo…",1
223,ellenosei59,2021-05-06 14:30:30," Magazine worthy
Wall paper worthy
Bill board worthy
Everything worthy
TACHA TACHA TACHA!!! 🥺🥺😭🥺😍😍😍😍😍😍😍😍😍😍😍
#InterTachanal…",1
224,MostlyBJs,2021-05-06 14:30:30, Come and see all my xxx content FOR FREE AT  NO PAY PER VIEW!! Everything is POSTED FREE ON MY WAL…,1
225,Lizones1,2021-05-06 14:30:30," Yellow Flowers Landscape Wall Decor 4 Panel Set On Canvas No. YFL-00a 

(Tweeted via …",0
226,Humberto_Bau,2021-05-06 14:30:31,"Checkmate! ♟♟♟
News have been paid to manipulate the world forever!
There is no “syndicate” or crime for people to… ",1
227,962a1ec32c6b4be,2021-05-06 14:30:31," #Promote2SR #JusticeForFinalYrPG

            …",0
228,justinl040,2021-05-06 14:30:32, If it was up to me I’d let them all in at one time. I would tear the wall down. Like a damn bursting wit… ,-1
229,kitty_meowmeoww,2021-05-06 14:30:32, It seems RM has one of Yun Hyung Keun's (Korean artist) paintings 🖼on the wall in these pics. He kept showing his love for Y…,1
230,todayonscreen,2021-05-06 14:30:33,"Today, May 6, 1985 is corporate raider Gordon Gekko's birthday. Hoping to meet with Gekko, junior stockbroker Bud F… ",1
231,wagiangwinner,2021-05-06 14:30:33," Is the WINNER wall still there? I mean it’s just a fcking wall but you know, fan things to do in SK 🥺🥺 …",1
232,Qhairrul,2021-05-06 14:30:33, Kinda wanna cry. Kinda wanna stare at the wall. Kinda wanna scream.. kinda wanna be silent . Kinda wanna be alone. Kinda wanna…,-1
233,cobaltjacket,2021-05-06 14:30:34,"No vaccination, no travel (other than cars) would fix this quickly.",-1
234,jimmyshill1,2021-05-06 14:30:34,Are you serious right now?,-1
235,kapilhunachgere,2021-05-06 14:30:35," Spine always grows in the back that is against the wall.

To hell with America. Bharat Biotech has already sourced all…",-1
236,hanshicoups,2021-05-06 14:30:35, new addition to kwon family's wall 😄 ,1
237,Texas_Ingenuity,2021-05-06 14:30:35," ""Over there, against the back wall.

...I can't attest t'the freshness of the donuts, though.""",0
238,ranitaroy24,2021-05-06 14:30:36," The INDIAN MEDIA surrounds itself in an ecochamber that operates only in the Corridors of power in NEW DELHI

and ARNAB…",0
239,AnkitaP78174771,2021-05-06 14:30:37, It seems RM has one of Yun Hyung Keun's (Korean artist) paintings 🖼on the wall in these pics. He kept showing his love for Y…,1
240,horanghaez,2021-05-06 14:30:37, new addition to kwon family's wall 😄 ,1
241,ArindamGhosh999,2021-05-06 14:30:38," To Delhi-Noida channels. 

For too long U have been peddling a narrative commanded by BJP’s MO-SHA. Toxic. Many of us no…",0
242,susan1007,2021-05-06 14:30:38, Democrats condemned the Wall that protects Americans against illegal immigration that they encourage for future voters.…,-1
243,dipagafa,2021-05-06 14:30:39, It seems RM has one of Yun Hyung Keun's (Korean artist) paintings 🖼on the wall in these pics. He kept showing his love for Y…,1
244,HappywithmyLif2,2021-05-06 14:30:40," According to estimates from border officials, as many as 30,000 illegal immigrants have escaped into the U.S. in just th…",-1
245,123nitin,2021-05-06 14:30:40," Android setup !! 
Wall  
KWGT  
Icons  
Template  ",0
246,_Square1_,2021-05-06 14:30:40," He needs to fit a new overhead dropwire for his full fibre Internet, but isn't convinced he can get the… ",-1
247,me_anagram,2021-05-06 14:30:41, crashing into people with a minecart after building a 3 meter wall real quick brb,0
248,ethereumJoseph,2021-05-06 14:30:41," 🚀Starting in 15 minutes: day one of #EtherealSummit 

⚡️Today we will talk NFTs, , Wall Street, , Priva…",0
249,Netaji_NathuRam,2021-05-06 14:30:41," Once upon a time twitter use to be nice 😋
4 YEARS OF REPUBLIC",1
250,maya_legi,2021-05-06 14:30:42, It seems RM has one of Yun Hyung Keun's (Korean artist) paintings 🖼on the wall in these pics. He kept showing his love for Y…,1
251,gopherfoot,2021-05-06 14:30:42," According to estimates from border officials, as many as 30,000 illegal immigrants have escaped into the U.S. in just th…",-1
252,its___jessica,2021-05-06 14:30:42,         Editor-In-Chief… ,0
253,j_hanniehae,2021-05-06 14:30:43, new addition to kwon family's wall 😄 ,1
254,ayurrraaa,2021-05-06 14:30:43, Kinda wanna cry. Kinda wanna stare at the wall. Kinda wanna scream.. kinda wanna be silent . Kinda wanna be alone. Kinda wanna…,-1
255,tommy_nygrooves,2021-05-06 14:30:43, Bat flipping for a hit that doesn’t even get to the wall should be a 3 game suspension  …,0
256,ArindamGhosh999,2021-05-06 14:30:43, These channels have not only been complicit in peddling the BJP’s false narrative but have done far worse things like inc…,-1
257,Golden_Seagul,2021-05-06 14:30:44, .'s next set of articles on #WestBengal: Despite the sharp growth by  in the State in the last half-deca…,-1
258,HogeArmy,2021-05-06 14:30:44," The painting will be delivered to the collector


Foundation link:… ",0
259,iasiansex,2021-05-06 14:30:45," Go to  to watch the rest of the video and hundreds of FREE posts on my wall ! NO PAY PER VIEW!!!
#…",1
260,IcyHuerter,2021-05-06 14:30:47, wight wall,0
261,KofiCoke,2021-05-06 14:30:47, If I march around you 7 times will you fall like the wall of Jericho for me😍 ,1
262,idmflh_,2021-05-06 14:30:47, not even cloth they literally glued the papers to the wall and sticked it next to each other the effort plshskdjd  #ดีอา…,0
263,TrivediVarnika,2021-05-06 14:30:49,"  is BIRTH OF INDEPENDENT NATIONALIST MEDIA IN INDIA

HAPPY 4th BIRTHDAY

4 YEARS OF REPUBLIC",1
264,wbznewsradio,2021-05-06 14:30:49," The medical examiner has arrived on scene in Newton. Initial reports are a wall collapsed, resulting in injuries. No fur…",-1
265,iasiansex,2021-05-06 14:30:50, Come and see all my xxx content FOR FREE AT  NO PAY PER VIEW!! Everything is POSTED FREE ON MY WAL…,1
266,ranitaroy24,2021-05-06 14:30:50," All other news networks who all r basically presstitutes has to do paid trends, but  is the only news network…",0
267,shilpaj39840272,2021-05-06 14:30:50," As Covid wave hits and threatens our rural pockets,  under  undertakes a strong Covid prevention dr…",1
268,MStimley,2021-05-06 14:30:50,"When a single guy ponders redecorating his apartment. (These can all be found under the search term ""tapestry"" or ""… ",0
269,BennyBongoP3fan,2021-05-06 14:30:50, Wall's ice-cream rules.,0
270,nilasishkar_jio,2021-05-06 14:30:51," To Delhi-Noida channels. 

For too long U have been peddling a narrative commanded by BJP’s MO-SHA. Toxic. Many of us no…",0
271,farahnatasha,2021-05-06 14:30:52,Me rn.,0
272,Gotimedolphins,2021-05-06 14:30:52, Writing was in red ink on the wall when Dolphins drafted Jevon Holland in 2nd round. Brian Flores sees Holland as having…,0
273,saigal_nikhil,2021-05-06 14:30:52,         Stop just calling… ,-1
274,nikideritrea,2021-05-06 14:30:53," Yeap... Why bother even with z most elementary geographic facts about ppl &amp; places 1 has no care for? 

The exigency here i…",-1
275,whobuildsarks,2021-05-06 14:30:54, Writing was in red ink on the wall when Dolphins drafted Jevon Holland in 2nd round. Brian Flores sees Holland as having…,0
276,lizamariew152,2021-05-06 14:30:56," Jesus is not pro-gun, that’s just your Republican lawmaker. 

Jesus is not pro building the wall, that’s just xenophobia.…",0
277,KGabrielle_,2021-05-06 14:30:56,"If I sleeping next to you, the worst thing you could do is play snaps and I still sleeping. Immediate phone buss into the wall",-1
278,TrivediVarnika,2021-05-06 14:30:56," The INDIAN MEDIA surrounds itself in an ecochamber that operates only in the Corridors of power in NEW DELHI

and ARNAB…",0
279,_ibnn21,2021-05-06 14:30:57, When you trying to get the remote after it fell between the couch and wall,0
280,MaeLiwan1,2021-05-06 14:30:57, It seems RM has one of Yun Hyung Keun's (Korean artist) paintings 🖼on the wall in these pics. He kept showing his love for Y…,1
281,Forextigress,2021-05-06 14:30:58,Investment and Trading: FOREX  TRADING   #Recovery hopes to underpin #Wall S...  ,1
282,duchesshazard,2021-05-06 14:30:59," Vintage Owl Latch Hook Wall Hanging Wilderness Decor Retro Art 27"" x 20""  via  #ebay #vint…",0
283,kettleglow,2021-05-06 14:31:00,... oh! baelsars wall already! reached that faster than i thought i would,1
284,greatermcr,2021-05-06 14:31:00,"💡Have you been thinking of External Wall Insulation?
❓Did you know it could improve your home by:
- Less heat loss… ",1
285,Bhmllr,2021-05-06 14:31:01," Look what’s been hiding for a couple decades. #YalePeabodyRenovation

This mural was painted on an internal wall back in t…",-1
286,starfishio,2021-05-06 14:31:01,  Track limits are easily enforced if you swap 100m run off areas with with gravel traps… ,1
287,Netaji_NathuRam,2021-05-06 14:31:01," Welcome to Twitter, ! We are happy to be your microphone to the Nation 🇮🇳 &amp; World 🌎 ",1
288,pandaluver365,2021-05-06 14:31:01," ""The 'America's Mayor' thing was a myth, a complete fluke caused by 9/11. Giuliani was always a brutal and controversial…",-1
289,calix_adrian,2021-05-06 14:31:02, Margot Robbie - The Wolf of Wall Street (2013) ,0
290,jahaewint,2021-05-06 14:31:02," ""what do you mean 'GRAB ONTO THE WALL'??"" ",0
291,TrumpPence4More,2021-05-06 14:31:02,"From this to released prisoners and defunding police, politicians are not doing what they are paid for by taxpayers… ",-1
292,FarukMe00518522,2021-05-06 14:31:03," To Delhi-Noida channels. 

For too long U have been peddling a narrative commanded by BJP’s MO-SHA. Toxic. Many of us no…",0
293,sarvatathagata,2021-05-06 14:31:03,An excellent thread to read if you want to understand how Bengal voted.,1
294,wescopeland_,2021-05-06 14:31:03,gme to the moon any%,0
295,chiquibon2,2021-05-06 14:31:04," According to estimates from border officials, as many as 30,000 illegal immigrants have escaped into the U.S. in just th…",-1
296,trufflebuttered,2021-05-06 14:31:04, Come and see all my xxx content FOR FREE AT  NO PAY PER VIEW!! Everything is POSTED FREE ON MY WAL…,1
297,hussain_amz,2021-05-06 14:31:05, These channels have not only been complicit in peddling the BJP’s false narrative but have done far worse things like inc…,-1
298,ColorInkArt,2021-05-06 14:31:06,"Toronto wall art, Contemporary abstract wall decor, Watercolor Toronto canvas set, Creative modern art, Abstract ar… ",1
299,shrichandrajosh,2021-05-06 14:31:07,          Thats the reason all the…,0
300,NewJerzeyBoy,2021-05-06 14:31:08,Caitlyn Jenner on the border: 'I am all for the wall' ,0
301,kganyasp,2021-05-06 14:31:08," SIGNATURE COMBO🔥🔥💯🔥🔥

R 11780 with a free banner wall ! 

🔹1 x 3 x 3m Std Gazebo + bag +tool kit
🔹4 x 1.6m Pop Ups
🔹8 x 2.4…",-1
302,JennyDupuis5,2021-05-06 14:31:08," 🚨Eyes on Red Castle,..👇

   ",0
303,nkingatua,2021-05-06 14:31:09," The man with deep scars in his body will teach you more than the man with deep academic profiles on his wall.

No school teache…",-1
304,nishi821,2021-05-06 14:31:10,       Maybe they are buying time ... But something…,0
305,3ncrypt10nb0y,2021-05-06 14:31:10,   The main room has a stock image of a spoon framed on the wall in the background,0
306,offiCHEOLIyours,2021-05-06 14:31:10, new addition to kwon family's wall 😄 ,1
307,IamGucciBen,2021-05-06 14:31:11," The man with deep scars in his body will teach you more than the man with deep academic profiles on his wall.

No school teache…",-1
308,Kevinwhited16,2021-05-06 14:31:11, Bidden is so dumb he doesn’t even know what a wall is. He’s a puppet for the left,-1
309,queensbett,2021-05-06 14:31:12,i love my cats so much cats are superior to dogs fight with the wall,1
310,hengyue8,2021-05-06 14:31:13," That is #CCPVirus planned by psychic #Xitler for #OBOR.
I know they controlled Indian politics through #CCPVirus.
…",0
311,its___jessica,2021-05-06 14:31:13,         Editor-In-Chief… ,0
312,DevonLiveNews,2021-05-06 14:31:13,"🔴 Angry campaigners determined to stop wall from ruining promenade
🔴 Torbay cruise liner workers from India test po… ",-1
313,samwin_17,2021-05-06 14:31:13,  Why is it john wall and not kpj,0
314,SonnyFigueroa97,2021-05-06 14:31:13, Bat flipping for a hit that doesn’t even get to the wall should be a 3 game suspension  …,0
315,wasd_network,2021-05-06 14:31:14,  I miss the Wall. I'll also never forget that moment when he was standing atop a buildi… ,0
316,CharlynWalter4,2021-05-06 14:31:17," According to estimates from border officials, as many as 30,000 illegal immigrants have escaped into the U.S. in just th…",-1
317,_priya_7757_,2021-05-06 14:31:17," The INDIAN MEDIA surrounds itself in an ecochamber that operates only in the Corridors of power in NEW DELHI

and ARNAB…",0
318,klgrube,2021-05-06 14:31:18," According to estimates from border officials, as many as 30,000 illegal immigrants have escaped into the U.S. in just th…",-1
319,crybabywest,2021-05-06 14:31:19," Why subscribe to my page? I have just removed any PPV so all my content will be uploaded to my feed with no pay wall💦

it's…",1
320,VulpesYifficus,2021-05-06 14:31:19," Art by and featuring  

Talk about breaking the 4th wall! And yes, Cerulien always draws like this. It inspir…",1
321,licinia74,2021-05-06 14:31:19, It seems RM has one of Yun Hyung Keun's (Korean artist) paintings 🖼on the wall in these pics. He kept showing his love for Y…,1
322,its___jessica,2021-05-06 14:31:20,          Editor-In-Chief #ArnabG…,0
323,Mu5hu,2021-05-06 14:31:20, Ooooof. Bro why you gotta nail me to the wall like that?,1
324,GMAN23538,2021-05-06 14:31:21," $GOLD is moving today above 1800 level. Expected for my subscribers.

As said, it is vital to change the mindset after a lo…",1
325,BingoisBingo9,2021-05-06 14:31:21,   The constitution of India is the longest written constitution of any countr… ,0
326,_priya_7757_,2021-05-06 14:31:22," If Arnab  doesn't come today we will hold Dharna( wish we could) , but anyways that doesn't matter!
We will hol…",1
327,simikopakoda,2021-05-06 14:31:22,me and who,0
328,NdichuMburu,2021-05-06 14:31:22," The man with deep scars in his body will teach you more than the man with deep academic profiles on his wall.

No school teache…",-1
329,CosmonautJem,2021-05-06 14:31:23," If you keep voting for the Democrats, they're going to keep taking money from Wall Street

If you keep voting for Democr…",0
330,godforsakethme,2021-05-06 14:31:24,"FORGET THE DAYS WED WASTE IN BED, TANGLED, THE SMOKE STILL ON UR BREATHE UNDRESSED AND PINNING U UP TO THE WALL",-1
331,diddymcc,2021-05-06 14:31:24," If you keep voting for the Democrats, they're going to keep taking money from Wall Street

If you keep voting for Democr…",0
332,mcanosan,2021-05-06 14:31:24, Want to read Quanta stories in print? Our collections “Alice and Bob Meet the Wall of Fire” and “The Prime Number Consp…,1
333,Mariana01306895,2021-05-06 14:31:25," According to estimates from border officials, as many as 30,000 illegal immigrants have escaped into the U.S. in just th…",-1
334,BrillArtists,2021-05-06 14:31:25,And have you voted today? The numbers on the wall at our local polling station were deeply depressing at lunchtime.… ,-1
335,Boy_with_Brains,2021-05-06 14:31:25, These channels have not only been complicit in peddling the BJP’s false narrative but have done far worse things like inc…,-1
336,68gunssafc,2021-05-06 14:31:25, #RSD21 proceeds to blood cancer charity ,-1
337,infectious_kid,2021-05-06 14:31:25," To Delhi-Noida channels. 

For too long U have been peddling a narrative commanded by BJP’s MO-SHA. Toxic. Many of us no…",0
338,CBKNEWS17,2021-05-06 14:31:25,"#BREAKING #NEWS: Omar says it's shameful for Biden to finish the Wall.

ALSO BREAKING: Omar is guilty of violating… ",-1
339,aakshayvats,2021-05-06 14:31:26," Spine always grows in the back that is against the wall.

To hell with America. Bharat Biotech has already sourced all…",-1
340,kmoneeet,2021-05-06 14:31:28," school has me so fucked up, i just wanna throw my laptop at the wall",-1
341,FolkshereiamGew,2021-05-06 14:31:28, just imagining pbest meeting gulf for his live prep and gulfs like o what do u have pbest and pbest just takes out these mul…,1
342,AlyssaM_InfoSec,2021-05-06 14:31:30," Didn't argue that at all. However the belief that this recurrent, straight line of lights in the sky is… ",1
343,TheStreet,2021-05-06 14:31:30,"Wall Street lauded Zynga ( $ZNGA ) first-quarter results and push into advertising with the Chartboost acquisition.
",0
344,marosbonsai,2021-05-06 14:31:32,"  I visited WW bunker recently. Part of Czechoslovak border fortifications, effectively never used… ",1
345,elms_JE,2021-05-06 14:31:32," Yellow Labrador Charcoal Drawing Print Labrador Retriever Wall Art, Dog Memorial,  Yellow Dog Picture Gift Choice of Sizes…",1
346,tyalvin1994,2021-05-06 14:31:32," This is it! This file has it all!
20 Min of Video Total! 😜

Cesar - $20 
40 Pics
21 Vids

Jerking with face
Naked Workouts
Di…",0
347,witchyfemm,2021-05-06 14:31:33," ♡ tiddie giveaway ♡ 

• must b following me 
• retweet &amp; like this post 
• extra entries: tag a friend 
• winner receiv…",1
348,Shivam22978939,2021-05-06 14:31:33," Who'll take the responsibility ?         
#…",0
349,1MightBePenguin,2021-05-06 14:31:33,    But he won’t. Tesla board is made of Maxis most likely using their brand name as an…,0
350,LisaParis0307,2021-05-06 14:31:33," Good.  Trump ran for office on the promise to build a wall (lying through his teeth), then frantically threw up 40 miles of…",-1
351,Brooklyn_niwasi,2021-05-06 14:31:34," Mainstreaming continues apace. 1st they ignore u, then they laugh at u, then they oppose u, then u win.... :)

htt…",1
352,FMLN92,2021-05-06 14:31:34, Yui! Help please before she looks at the wall!,1
353,CarolForden,2021-05-06 14:31:35, the next group to target is not the over-discussed vaccine-hesitant but the under-discussed “I’m not at risk and I’ll ju…,1
354,bs_doe,2021-05-06 14:31:36,   I  live in Europe but lived in the US for 4½ ys watching the decline of… ,0
355,ShlokamS,2021-05-06 14:31:36," To Delhi-Noida channels. 

For too long U have been peddling a narrative commanded by BJP’s MO-SHA. Toxic. Many of us no…",0
356,Mary6414,2021-05-06 14:31:36, Here we go again. 🤦‍♂️ calling out the 🐐 ⁦In the middle of another championship?!?!? ⁦Good luck  ⁦⁩  Just went…,1
357,tipsey_russell,2021-05-06 14:31:37," Well, the writing was on the wall with not only the Holland pick but also with the Malik Hooker visit.

Bobby carries…",1
358,asish_routray,2021-05-06 14:31:37,   There is no name for this system. You have to be conscious &amp; aware &amp; mindfu… ,-1
359,champlin10,2021-05-06 14:31:39, Bat flipping for a hit that doesn’t even get to the wall should be a 3 game suspension  …,0
360,ThetaRider,2021-05-06 14:31:39,"You hang there on the wall
You’ve carved out your place
But I can tell you shake from inside

I see it all the time… ",-1
361,OE43,2021-05-06 14:31:39, I CAN’T BELIEVE THAT #SAFEMOON was MENTIONED IN A WALL STREET JOURNAL ARTICLE 🔥🚀🌕!! WE ARE #SAFEMOON #SAFEMOONARMY http…,-1
362,Eldritch_Butts,2021-05-06 14:31:40,  big lady throw me into a brick wall pls,1
363,grvgrv2020,2021-05-06 14:31:40,       KARMA is hitting them hard ! It's been rightly sa…,-1
364,AWebNation,2021-05-06 14:31:41, Bat flipping for a hit that doesn’t even get to the wall should be a 3 game suspension  …,0
365,joeninetythree,2021-05-06 14:31:41,I love how people dabble In a couple stocks and start posting on Instagram like there wolf of Wall Street 🥸🤣,1
366,Subhashatyadav,2021-05-06 14:31:41," Spine always grows in the back that is against the wall.

To hell with America. Bharat Biotech has already sourced all…",-1
367,asb_pilou,2021-05-06 14:31:42,If you have a minute...,0
368,Hemanth44907468,2021-05-06 14:31:42," To Delhi-Noida channels. 

For too long U have been peddling a narrative commanded by BJP’s MO-SHA. Toxic. Many of us no…",0
369,Goldenine,2021-05-06 14:31:43," $GOLD is moving today above 1800 level. Expected for my subscribers.

As said, it is vital to change the mindset after a lo…",1
370,DakValues,2021-05-06 14:31:44," According to estimates from border officials, as many as 30,000 illegal immigrants have escaped into the U.S. in just th…",-1
371,cracosal,2021-05-06 14:31:44," According to estimates from border officials, as many as 30,000 illegal immigrants have escaped into the U.S. in just th…",-1
372,PinkieMoskovits,2021-05-06 14:31:44,    Remind me again what happened to the red wall under Corbyn’s leadership?,0
373,bobbybhartia,2021-05-06 14:31:44," its a matter of shame
If ur EX HM is innocemt why he not prepared to defend himself instead of running… ",-1
374,Strangedannnnn,2021-05-06 14:31:45, Its comedy seeing all you “build a wall” ass mfs celebrating Cinco De Mayo 🤣🇲🇽,1
375,PaulLUFC1919,2021-05-06 14:31:45,"   😂😂😂 ""Here's our new badge. We paid someone actual money to design it, just for… ",1
376,kr0ckafl0cka,2021-05-06 14:31:45, okay and? rosé lived with a hole in a wall with a mattress,1
377,joel_krahn,2021-05-06 14:31:46,"     People on this thread just keep saying that, keep backing up a… ",0
378,paddenmyfrenchh,2021-05-06 14:31:46, Fellow economically dumb guy here.. is this something that’s fairly easy to understand? If I could tur… ,-1
